id,title,release_year,budget,revenue,production_companies
62211,Monsters University,2013,200000000,743559607.0,"['Walt Disney Pictures', 'Pixar Animation Studios']"
604,The Matrix Reloaded,2003,150000000,738599701.0,"['Village Roadshow Pictures', 'NPV Entertainment', 'Heineken Branded Entertainment', 'Silver Pictures', 'Warner Bros.']"
14160,Up,2009,175000000,735099082.0,['Pixar Animation Studios']
49047,Gravity,2013,105000000,716392705.0,"['Warner Bros.', 'Heyday Films', 'Esperanto Filmoj']"
100402,Captain America: The Winter Soldier,2014,170000000,714766572.0,['Marvel Studios']
50619,The Twilight Saga: Breaking Dawn - Part 1,2011,110000000,712171856.0,"['Summit Entertainment', 'Sunswept Entertainment', 'Total Entertainment', 'TSBD Canada Productions', 'Zohar International', 'Temple Hill Entertainment', 'TSBD Louisiana', 'TSBD Productions']"
119450,Dawn of the Planet of the Apes,2014,170000000,710644566.0,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']"
18239,The Twilight Saga: New Moon,2009,50000000,709827462.0,"['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
1858,Transformers,2007,150000000,709709780.0,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'thinkfilm', 'SprocketHeads', 'Hasbro Studios', 'Revolution Sun Studios']"
102382,The Amazing Spider-Man 2,2014,200000000,705717432.0,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']"
24021,The Twilight Saga: Eclipse,2010,68000000,698491347.0,"['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
56292,Mission: Impossible - Ghost Protocol,2011,145000000,694713380.0,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'TC Productions', 'Revolution Sun Studios', 'Kontsept Film Company']"
70160,The Hunger Games,2012,75000000,691210692.0,"['Lionsgate', 'Color Force']"
177677,Mission: Impossible - Rogue Nation,2015,150000000,682330139.0,"['Paramount Pictures', 'Skydance Productions', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin']"
13,Forrest Gump,1994,55000000,677945399.0,['Paramount Pictures']
284052,Doctor Strange,2016,165000000,677718395.0,"['Walt Disney Pictures', 'Marvel Studios']"
