title,release_year,budget,revenue,profit,production_companies
Suicide Squad,2016,175000000,745600054.0,570600054.0,"['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']"
2012,2009,200000000,769653595.0,569653595.0,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,180000000,748806957.0,568806957.0,"['Walt Disney', 'Walden Media']"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,230000000,794191988.0,564191988.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Moving Picture Company (MPC)']"
Up,2009,175000000,735099082.0,560099082.0,['Pixar Animation Studios']
Transformers,2007,150000000,709709780.0,559709780.0,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'thinkfilm', 'SprocketHeads', 'Hasbro Studios', 'Revolution Sun Studios']"
Mamma Mia!,2008,52000000,609841637.0,557841637.0,"['Universal Pictures', 'Internationale Filmproduktion Richter', 'Playtone', 'Relativity Media', 'Littlestar']"
Sing,2016,75000000,632443719.0,557443719.0,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Illumination Entertainment']"
Mission: Impossible - Ghost Protocol,2011,145000000,694713380.0,549713380.0,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'TC Productions', 'Revolution Sun Studios', 'Kontsept Film Company']"
Captain America: The Winter Soldier,2014,170000000,714766572.0,544766572.0,['Marvel Studios']
Monsters University,2013,200000000,743559607.0,543559607.0,"['Walt Disney Pictures', 'Pixar Animation Studios']"
Dawn of the Planet of the Apes,2014,170000000,710644566.0,540644566.0,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']"
